name,sdg,score
tata_motors,SDG_12,47.0
tata_motors,SDG_11,34.0
tata_motors,SDG_3,32.0
tata_motors,SDG_6,22.0
tata_motors,SDG_7,12.0
tata_motors,SDG_8,12.0
tata_motors,SDG_2,11.0
tata_motors,SDG_16,11.0
tata_motors,SDG_15,10.0
tata_motors,SDG_9,9.0
tata_motors,SDG_4,8.0
tata_motors,SDG_5,5.0
tata_motors,SDG_10,2.0
tata_motors,SDG_13,2.0
tata_motors,SDG_1,1.0
tata_motors,SDG_14,1.0
britannia,SDG_3,16.0
britannia,SDG_2,9.0
britannia,SDG_6,4.0
britannia,SDG_7,2.0
britannia,SDG_9,1.0
britannia,SDG_11,1.0
britannia,SDG_16,1.0
